Country Name,Id,Indicator Name,Value,Year
Equatorial Guinea,5377,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Equatorial Guinea,5382,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Equatorial Guinea,5421,"External debt stocks, total (DOD, current US$)",n/a,1996
Greece,5438,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Greece,5443,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Greece,5482,"External debt stocks, total (DOD, current US$)",n/a,1996
Grenada,5499,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",7547447.8,1996
Grenada,5504,"Debt service on external debt, total (TDS, current US$)",8381447.8,1996
Grenada,5543,"External debt stocks, total (DOD, current US$)",140689393.7,1996
Greenland,5560,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
Greenland,5565,"Debt service on external debt, total (TDS, current US$)",n/a,1996
Greenland,5604,"External debt stocks, total (DOD, current US$)",n/a,1996
Guatemala,5621,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",322084207.7,1996
Guatemala,5626,"Debt service on external debt, total (TDS, current US$)",387990207.7,1996
Guatemala,5665,"External debt stocks, total (DOD, current US$)",3414092731,1996
Guyana,5743,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",77876426.1,1996
Guyana,5748,"Debt service on external debt, total (TDS, current US$)",104272501.6,1996
Guyana,5787,"External debt stocks, total (DOD, current US$)",1607335579,1996
"Hong Kong SAR, China",5865,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",n/a,1996
"Hong Kong SAR, China",5870,"Debt service on external debt, total (TDS, current US$)",n/a,1996
"Hong Kong SAR, China",5909,"External debt stocks, total (DOD, current US$)",n/a,1996
Honduras,5926,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",503591711.3,1996
Honduras,5931,"Debt service on external debt, total (TDS, current US$)",623219874.7,1996
Honduras,5970,"External debt stocks, total (DOD, current US$)",4806522989,1996
